delivery_date,split,last_settlement_price,settlement_price,price_change_eur_mwh,target_direction,pnl_long_eur,pnl_short_eur,gen_solar_mw_mean,gen_wind_onshore_mw_mean,gen_wind_offshore_mw_mean,gen_fossil_gas_mw_mean,gen_fossil_hard_coal_mw_mean,gen_fossil_brown_coal_lignite_mw_mean,gen_nuclear_mw_mean,load_actual_mw_mean,load_forecast_mw_mean,forecast_solar_mw_mean,forecast_wind_onshore_mw_mean,forecast_wind_offshore_mw_mean,weather_temperature_2m_degc_mean,weather_wind_speed_10m_kmh_mean,weather_shortwave_radiation_wm2_mean,price_fr_eur_mwh_mean,price_nl_eur_mwh_mean,price_at_eur_mwh_mean,price_pl_eur_mwh_mean,price_cz_eur_mwh_mean,price_dk_1_eur_mwh_mean,flow_fr_net_import_mw_mean,flow_nl_net_import_mw_mean,carbon_price_usd_mean,gas_price_usd_mean,price_mean,price_max,price_min,price_std
2021-07-16,train,89.70541666666666,84.49916666666667,-5.206249999999997,-1,-124.94999999999993,124.94999999999993,7575.229583333334,3299.2942708333335,4499.00125,7362.411770833333,6794.931145833333,8162.3440625,7903.546145833333,58444.4634375,57715.73072916667,7287.7422916666665,4159.7534375000005,4225.6825,17.420833333333334,4.0375000000000005,260.2916666666667,75.02041666666666,86.2075,88.92625,87.805,89.70541666666666,89.70541666666666,2952.4426666666664,2111.935,15.452500343322754,33.96000099182129,89.70541666666666,105.0,74.91,10.037512674383317
2021-07-17,train,84.49916666666667,60.65541666666667,-23.84375,-1,-572.25,572.25,8546.505,4969.077916666666,3063.251979166667,5688.839895833334,5622.101041666666,9342.4246875,7866.918333333334,57563.387395833335,57211.192500000005,8434.832083333333,4483.668854166666,3546.9296875,18.508333333333333,14.125,220.0,83.01916666666666,84.2,84.61749999999999,86.31333333333333,84.69,83.66916666666667,2127.2391458333336,998.6179166666666,15.452500343322754,34.667832692464195,84.49916666666667,101.87,70.01,11.2410853246189
2021-07-18,train,60.65541666666667,46.70875,-13.946666666666665,-1,-334.71999999999997,334.71999999999997,7352.102708333333,11009.194895833332,1898.0035416666667,2811.711458333333,1536.074375,7247.3126041666665,7657.7059375,49375.8434375,47772.433020833334,7742.786666666667,12284.350416666666,2367.6608333333334,19.479166666666668,16.4875,268.0416666666667,62.535,65.34791666666666,64.80166666666666,72.77166666666666,64.75625000000001,54.44125,2428.664854166667,389.8754166666667,15.452500343322754,34.84199905395508,60.65541666666667,81.06,16.92,16.338316122902143
2021-07-19,train,46.70875,90.32249999999999,43.61374999999999,1,1046.7299999999998,-1046.7299999999998,11131.673125000001,8744.697291666665,2112.9555208333336,2628.532291666667,1499.4555208333334,5784.9725,7482.024062500001,46348.356562500005,44721.14124999999,10583.168333333333,9285.459479166666,2063.9283333333333,18.912499999999998,11.6875,300.875,46.87375,50.86666666666667,46.85708333333333,64.29625,54.763749999999995,39.340833333333336,2111.37975,-1071.1870833333332,15.452500343322754,34.84199905395508,46.70875,94.19,-5.0,29.643413860857642
2021-07-20,train,90.32249999999999,91.40958333333333,1.0870833333333394,1,26.090000000000146,-26.090000000000146,9204.696145833334,4873.17875,1571.313645833333,5383.299375,5051.237604166667,9060.281770833333,7850.8438541666665,57324.62208333333,56087.04822916666,9884.5971875,5519.6409375,1627.6914583333335,16.204166666666666,10.579166666666667,249.375,90.25291666666668,90.81833333333333,90.46208333333334,83.39041666666667,90.34625,88.98416666666667,2282.0347708333334,1026.5866666666668,15.452500343322754,35.51449839274088,90.32249999999999,115.2,64.4,14.538708826708998
2021-07-21,train,91.40958333333333,89.99291666666666,-1.4166666666666714,-1,-34.000000000000114,34.000000000000114,9873.3353125,2920.640625,1276.9298958333331,6243.660208333334,6132.751145833333,8994.481770833334,7912.161979166667,58275.37739583334,56997.88947916666,10125.664375,4308.410104166666,1571.7447916666667,15.075000000000001,8.820833333333333,188.58333333333334,90.89541666666668,91.35333333333334,91.49708333333332,85.85041666666666,91.97833333333334,73.5925,1692.1918333333333,1134.85875,15.452500343322754,35.245667139689125,91.40958333333333,114.85,75.87,13.285663236923009
2021-07-22,train,89.99291666666666,87.80166666666666,-2.1912499999999966,-1,-52.58999999999992,52.58999999999992,9604.9125,2145.273333333333,727.4548958333334,6554.326041666667,6320.204687500001,9224.137708333334,7909.669166666667,57422.89333333333,57229.18729166667,10164.2515625,2731.5298958333333,754.2583333333333,16.491666666666667,5.9750000000000005,201.95833333333334,91.02166666666666,89.14125,92.3575,85.49583333333334,92.3575,89.99291666666666,1476.7512916666667,2016.1958333333332,15.452500343322754,35.81833457946777,89.99291666666666,113.59,75.93,13.432954765496836
2021-07-23,train,87.80166666666666,88.77125000000001,0.9695833333333468,1,23.270000000000323,-23.270000000000323,9830.28375,1509.1928125000002,699.8575000000001,7061.281770833334,6798.200104166666,9151.421666666667,7884.458645833333,57611.9565625,57324.753124999996,10336.424791666666,1826.5111458333333,672.9171875000001,18.099999999999998,4.0125,190.5,88.42833333333334,87.76583333333333,88.59541666666667,83.95875,88.59541666666667,87.63333333333333,888.5919791666666,1391.6794791666669,15.452500343322754,36.09900156656901,87.80166666666666,105.25,74.0,10.919819900834748
2021-07-24,train,88.77125000000001,73.59208333333333,-15.179166666666674,-1,-364.3000000000002,364.3000000000002,10584.999895833333,1633.5094791666668,298.03895833333337,6511.445729166667,5976.731458333333,9780.688229166666,7887.900104166667,56444.942916666674,56187.50291666667,10803.432083333333,1492.51625,175.1990625,17.629166666666666,6.429166666666667,263.2083333333333,87.73375,88.65666666666668,88.87833333333333,88.01166666666667,88.90416666666665,88.77125000000001,1796.1565,844.6036458333333,15.452500343322754,35.62399927775065,88.77125000000001,106.91,74.51,10.86010101342244
2021-07-25,train,73.59208333333333,62.15208333333334,-11.439999999999998,-1,-274.55999999999995,274.55999999999995,8380.401666666667,6745.6111458333335,1611.7529166666666,3026.8870833333335,2310.079375,9787.548333333334,7853.256875,48946.278958333336,48424.103854166664,9232.734895833333,6516.513958333333,1481.7630208333333,19.825,10.170833333333333,233.08333333333334,74.73875,79.36375,73.90208333333334,75.64416666666666,73.59208333333333,73.11916666666666,1408.7482916666668,-863.7764583333333,15.452500343322754,35.52299880981445,73.59208333333333,90.21,54.24,9.108400794663785
2021-07-26,train,62.15208333333334,88.81041666666665,26.658333333333317,1,639.7999999999996,-639.7999999999996,8360.579166666666,4519.018020833333,2297.9213541666663,3017.8277083333337,2208.4644791666665,9233.6390625,7753.3940625,46438.03791666666,45803.30875,7914.492604166667,4956.077708333333,2452.0764583333334,20.400000000000002,5.508333333333333,245.75,62.512499999999996,64.65124999999999,62.38625,68.59333333333333,62.29333333333333,62.15208333333334,2061.9017916666667,-1035.7798958333333,15.452500343322754,35.52299880981445,62.15208333333334,91.86,46.74,17.224930864798896
