year,strategy,standalone_pnl,standalone_rank,market_adjusted_pnl,market_adjusted_rank,rank_change,final_weight,weight_variance,max_forecast_correlation,loo_mae_delta,classification
2025,Consensus Signal,0.0,61,-470.7307,51,10,0.0,0.0,1.0,0.0283,redundant
2025,Cross Border Spread,1493.5505,48,-99.3704,9,39,0.0,0.0004329,0.9751,0.0069,redundant
2025,DEFRSpread,1395.9647,50,-146.9902,15,35,0.0,1.746e-05,0.9751,-0.0026,redundant
2025,DENLSpread,1553.6622,47,-218.2128,20,27,0.0,3.42e-06,0.8517,0.0001,weak
2025,Day Of Week,3268.8895,30,-229.4441,22,8,0.0,2.14e-06,0.9649,-0.0075,redundant
2025,Decision Tree,6334.6297,22,-393.2131,30,-8,0.0,2.35e-06,0.9998,-0.0155,destabilising
2025,Diversity Ensemble,6818.909,12,-407.3812,33,-21,0.0,2.73e-06,0.9999,0.0016,redundant
2025,Dow Composite,4503.3878,27,-485.3948,53,-26,0.0,1.021e-05,0.9649,-0.0022,redundant
2025,Elastic Net,6900.1576,4,-356.9751,27,-23,0.0,0.00396424,0.9991,0.0284,redundant
2025,FRFlow Signal,1034.9926,51,-181.9852,18,33,0.0,1.23e-06,0.9365,0.0052,weak
2025,Fossil Dispatch,1443.5807,49,-297.4231,24,25,0.0,3.58e-06,0.8106,0.0854,weak
2025,Fuel Index Trend,100.8697,55,-165.3133,16,39,0.0,4e-08,0.9066,0.0009,weak
2025,GBMNet Demand,6705.2155,19,-440.4838,43,-24,0.0,2.64e-06,0.9999,0.044,redundant
2025,Gas Carbon Joint Trend,-49.1662,63,-455.9584,46,17,0.0,0.0,0.9998,-0.0023,redundant
2025,Gas Trend,-297.0164,66,-403.4498,32,34,0.0,0.0,0.9066,-0.0023,weak
2025,Gradient Boosting,6980.6316,1,-393.0286,29,-28,0.0,2.86e-06,0.9999,0.0349,redundant
2025,KNNDirection,6581.4093,20,-484.8618,52,-32,0.0,2.54e-06,0.9998,0.0061,redundant
2025,Lag2Reversion,2102.7666,39,-172.0033,17,22,0.0,1.64e-06,0.6807,0.0106,weak
2025,Lasso Calendar Augmented,6786.1957,15,-137.6443,13,2,0.0,0.00152462,1.0,0.006,redundant
2025,Lasso Regression,6786.1957,15,-137.6443,13,2,0.0,0.00152462,1.0,0.006,redundant
2025,Lasso Top Features,5794.0439,24,-72.067,8,16,0.0,0.00015077,0.9578,0.0021,redundant
2025,Load Forecast,1564.5657,46,-741.329,62,-16,0.0,3.16e-06,0.9136,0.0012,weak
2025,Load Surprise,2154.6739,38,-671.5205,60,-22,0.0,6.96e-06,0.8715,-0.0099,weak
2025,Logistic Direction,6900.427,3,-431.4247,39,-36,0.0,2.79e-06,1.0,0.0328,redundant
2025,Majority Vote ML,6885.3449,6,-407.3812,33,-27,0.0,2.78e-06,1.0,0.0045,redundant
2025,Majority Vote Rule Based,2005.5424,40,-434.9722,42,-2,0.0,2.4e-07,0.9997,-0.0152,destabilising
2025,Mean Forecast Regression,6819.2557,11,-43.8439,5,6,0.0,0.01556865,0.9999,0.0133,redundant
2025,Median Forecast Ensemble,6793.9391,14,-105.3139,10,4,0.0,0.00223616,0.9999,0.0417,redundant
2025,Monday Effect,2449.5481,32,-247.0144,23,9,0.0,6.3e-07,0.9738,0.0125,redundant
2025,Month Seasonal,55.8786,58,-520.3521,56,2,0.0,0.0,0.9988,0.2252,redundant
2025,Multi Spread,2728.3418,31,-64.8746,7,24,0.0,0.00424051,0.828,0.0268,robust
2025,NLFlow Signal,2216.3547,35,-105.3416,11,24,0.0,0.00039376,0.8475,0.0008,weak
2025,Net Demand,2340.1199,34,-719.7879,61,-27,0.0,7.04e-06,0.9787,0.0327,redundant
2025,Net Demand Momentum,2373.2907,33,-413.9737,36,-3,0.0,2.97e-06,0.9879,0.0574,redundant
2025,Neural Net,6841.9882,8,-506.2655,54,-46,0.0,2.75e-06,0.9999,0.0064,redundant
2025,Nuclear Availability,26.2066,59,-910.5134,65,-6,0.0,2e-08,1.0,0.0242,redundant
2025,PLSRegression,6730.3078,18,-10.6493,3,15,0.0,0.01993686,0.9951,0.033,redundant
2025,Price Min Reversion,2190.3618,37,-433.8968,41,-4,0.0,7.26e-06,0.7663,0.0003,weak
2025,Price ZScore Reversion,2199.4655,36,-394.957,31,5,0.0,2.8e-07,0.9418,0.057,weak
2025,Quarter Seasonal,60.0309,57,-466.4715,50,7,0.0,0.0,0.9999,-0.0043,redundant
2025,Random Forest,6796.3147,13,-419.0504,37,-24,0.0,2.71e-06,1.0,0.001,redundant
2025,Regime Conditional Ensemble,6005.5932,23,-411.4732,35,-12,0.0,2.12e-06,0.9998,0.0005,redundant
2025,Renewable Regime,1694.6461,43,-451.3263,45,-2,0.0,1.15e-06,0.9894,0.0195,redundant
2025,Renewables Penetration,1694.6461,43,-550.1905,57,-14,0.0,3.61e-06,0.9755,0.0471,redundant
2025,Renewables Surplus,1756.369,42,-614.3832,59,-17,0.0,1.8e-07,0.9668,0.0041,redundant
2025,Ridge Net Demand,6429.2651,21,-227.3401,21,0,0.0,0.00083483,0.9927,0.0064,redundant
2025,Ridge Regression,6750.6566,17,-182.0541,19,-2,0.0,0.00077297,0.9993,0.0056,redundant
2025,SVMDirection,6879.3205,7,-459.0781,47,-40,0.0,2.78e-06,1.0,0.0155,redundant
2025,Solar Forecast,178.9961,53,-328.3104,25,28,0.0,1.5e-07,0.9067,0.0256,weak
