id,label,converged,genuinely_monotone,n_iterations,final_delta,mae,n_spikes,longest_mono_tail,weight_mode,softmax_temp,running_avg_k,soft_sign_sigma,weight_ema_beta,profit_ema_beta,alpha,year
G8_T5.0_s5.0,Softmax T=5.0 + Soft-sign sigma=5.0,False,False,300,28.59237,9.219,299,0,softmax,5.0,,5.0,,,1.0,2025
G8_T5.0_s10.0,Softmax T=5.0 + Soft-sign sigma=10.0,False,False,300,28.594328,9.219,299,0,softmax,5.0,,10.0,,,1.0,2025
G8_T10.0_s5.0,Softmax T=10.0 + Soft-sign sigma=5.0,False,False,300,28.468733,9.219,299,2,softmax,10.0,,5.0,,,1.0,2025
G8_T10.0_s10.0,Softmax T=10.0 + Soft-sign sigma=10.0,False,False,300,28.594391,9.219,299,0,softmax,10.0,,10.0,,,1.0,2025
G9_b0.7_K5,Profit EMA beta=0.7 + K=5,False,False,300,8.824502,9.5095,187,4,linear,1.0,5.0,,,0.7,1.0,2025
G9_b0.7_K10,Profit EMA beta=0.7 + K=10,True,True,169,0.009314,9.0826,76,8,linear,1.0,10.0,,,0.7,1.0,2025
G9_b0.7_K20,Profit EMA beta=0.7 + K=20,False,False,300,0.048726,9.0144,72,14,linear,1.0,20.0,,,0.7,1.0,2025
G9_b0.85_K5,Profit EMA beta=0.85 + K=5,False,False,300,0.04688,10.0663,153,4,linear,1.0,5.0,,,0.85,1.0,2025
G9_b0.85_K10,Profit EMA beta=0.85 + K=10,True,True,162,0.009876,9.2487,79,8,linear,1.0,10.0,,,0.85,1.0,2025
G9_b0.85_K20,Profit EMA beta=0.85 + K=20,True,True,239,0.007207,9.0343,64,15,linear,1.0,20.0,,,0.85,1.0,2025
G9_b0.9_K5,Profit EMA beta=0.9 + K=5,False,False,300,0.034395,10.1437,152,4,linear,1.0,5.0,,,0.9,1.0,2025
G9_b0.9_K10,Profit EMA beta=0.9 + K=10,True,True,97,0.007426,9.2126,47,8,linear,1.0,10.0,,,0.9,1.0,2025
G9_b0.9_K20,Profit EMA beta=0.9 + K=20,True,True,166,0.007468,9.0302,48,15,linear,1.0,20.0,,,0.9,1.0,2025
